experiment_id,timestamp_utc,git_commit,config_hash,dataset_revision,split_name,mlp_count,estimator_name,compute_profile,seed_policy,raw_final_mse_mean,raw_final_mse_median,adjusted_score_mean,all_layer_mse_mean,p90_final_mse,p95_final_mse,mean_compute_ratio,max_compute_ratio,mean_wall_ms,p95_wall_ms,max_wall_ms,peak_memory_mb,failure_count,fallback_count,notes,result_path
t00_contract_smoke,2026-07-10T21:43:16.255810Z,UNAVAILABLE,UNAVAILABLE,generated,one_generated_mlp,1,contract_zero,t00_contract,deterministic,0.38506245613098145,0.38506245613098145,0.03850624561309815,0.5524620413780212,0.38506245613098145,0.38506245613098145,0.00003213234081426088,0.00003213234081426088,0.4597003571689129,0.4597003571689129,0.4597003571689129,,0,0,Contract-only local runner smoke; no algorithmic claim.,results/raw/t00_end_to_end.json
t01_contract_regression,2026-07-10T21:48:28.046Z,UNCOMMITTED,UNFROZEN,generated,one_generated_mlp,1,contract_zero,t01_infrastructure,deterministic,0.38506245613098145,0.38506245613098145,0.03850624561309815,0.5524620413780212,0.38506245613098145,0.38506245613098145,0.00003213234081426088,0.00003213234081426088,0.4597003571689129,0.4597003571689129,0.4597003571689129,,0,0,Infrastructure-only regression; prediction code unchanged.,results/raw/t00_end_to_end.json
t02_reference_validation,2026-07-10T21:52:35.986Z,0a623af,NOT_APPLICABLE,synthetic,small_fixed_fixtures,4,numpy_quadrature_reference,development_unmetered,fixed,,,,,,,,,,,,,0,0,Development-only oracle validation; no official score or runtime compute claim.,results/raw/t02_reference_validation.json
t03_moment_primitives,2026-07-10T21:57:26.713Z,0f98d8f,NOT_APPLICABLE,synthetic,analytic_and_quadrature_fixtures,12,metered_moment_primitives,development_unit,deterministic,,,,,,,,,,,,,0,0,Runtime primitives validated; estimator prediction unchanged.,results/raw/t03_moment_validation.json
